order_id,customer_name,order_date,channel,category,quantity,unit_price,country,payment_method,order_total,refund_amount
10001,Patty Richard,2026-08-21,Website,Apparel,4,160.06,United Kingdom,Gift Card,640.24,0.0
10002,Kelly Murphy,2026-08-21,Marketplace,Apparel,4,72.59,Canada,Gift Card,290.36,0.0
10003,Rachel Rogers,2026-08-21,Website,Home Goods,4,191.1,Canada,Credit Card,764.4,0.0
10004,Michael Stewart,2026-08-21,Marketplace,Sports,2,220.85,United States,Credit Card,441.7,322.91
10005,Lori Reid,2026-08-21,Retail Store,Sports,3,229.24,Australia,PayPal,687.72,462.54
10006,John Perez,2026-08-21,Website,Apparel,5,$160.47,United Kingdom,Gift Card,802.35,0.0
10007,Suzanne Cox,21-08-2026,Website,Sports,2,85.74,United Kingdom,Gift Card,171.48,87.56
10008,Monica Garcia,2026-08-21,Website,Beauty,4,49.0,Germany,Bank Transfer,196.0,0.0
10009,Justin Wright,2026-08-21,Website,Apparel,4,285.71,Australia,Gift Card,1142.84,0.0
10010,Shannon Werner,21-08-2026,Website,Home Goods,5,77.37,United States,PayPal,386.85,0.0
10011,Cassie Rush,2026-08-21,Marketplace,Sports,4,238.47,Canada,Bank Transfer,953.88,711.11
10012,Diane Parker,2026-08-21,Marketplace,Home Goods,4,172.48,Germany,Credit Card,689.92,0.0
10013,Mr. Brian Levy DDS,21-08-2026,Website,Sports,2,319.11,Germany,Gift Card,638.22,0.0
10014,Christopher Meyers,2026-08-21,Website,Beauty,5,140.4,Britain,Gift Card,702.0,0.0
10015,Emily Hall,2026-08-21,Website,Sports,5,261.71,Australia,PayPal,1308.55,0.0
10016,Wayne Pollard,2026-08-21,Retail Store,Sports,1548,$254.66,United States,Bank Transfer,254.66,0.0
10017,Todd Rose,2026-08-21,Website,Apparel,5,302.14,Australia,Gift Card,1510.7,0.0
10018,Patricia Jones,2026-08-21,Website,Apparel,4,291.25,United Kingdom,PayPal,1165.0,289.94
10019,Richard Williams,2026-08-21,Retail Store,Apparel,1,41.53,United Kingdom,Gift Card,41.53,0.0
10020,Mrs. Angela Cook MD,2026-08-21,Website,Apparel,5,349.36,Australia,PayPal,1746.8,0.0
10021,Scott Martinez PhD,2026-08-21,Marketplace,Electronics,5,103.86,Australia,Gift Card,519.3,0.0
10022,John Johnson,2026-08-21,Retail Store,Electronics,1,305.64,Germany,Bank Transfer,305.64,0.0
10023,Pamela Atkins,2026-08-21,Website,Beauty,4,33.95,Canada,Gift Card,135.8,0.0
10024,Donna Robinson,2026-08-21,Website,Apparel,5,339.2,Australia,PayPal,1696.0,0.0
10025,Brandy Evans,2026-08-21,Retail Store,Sports,3,159.45,United States,Credit Card,478.35,0.0
10026,Nathan Benson,2026-08-21,Website,Beauty,1,86.88,United States,Credit Card,86.88,0.0
10027,Ashley Kemp,2026-08-21,Website,Apparel,3,57.77,Germany,PayPal,173.31,0.0
10028,,2026-08-21,Marketplace,Electronics,4,298.59,Australia,Gift Card,1194.36,0.0
10029,Brittany Gutierrez,2026-08-21,Marketplace,Electronics,3,12.0,France,Gift Card,36.0,16.88
10030,Steven Bowen,2026-08-21,Website,Beauty,2,$146.17,Germany,Credit Card,292.34,0.0
10031,,2026-08-21,Website,Home Goods,3,274.08,Germany,Credit Card,822.24,0.0
10032,Joseph Parrish,2026-08-21,Website,Apparel,4,340.49,United States,Bank Transfer,1361.96,0.0
10033,Diana White,2026-08-21,Website,Beauty,3,284.33,United Kingdom,Bank Transfer,852.99,0.0
10034,Patricia Powell,2026-08-21,Website,Home Goods,4,38.47,United Kingdom,Credit Card,153.88,0.0
10035,Crystal Beard,2026-08-21,Website,Electronics,-1,135.61,United States,PayPal,135.61,0.0
10036,Justin Garrison,2026-08-21,Marketplace,Electronics,5,126.96,Canada,PayPal,634.8,0.0
10037,Karen Thomas,2026-08-21,Marketplace,Sports,4,132.12,Canada,PayPal,528.48,0.0
10038,James Grimes,2026-08-21,Website,Apparel,5,303.42,Australia,Gift Card,1517.1,0.0
10039,Jerry Brown,2026-08-21,Marketplace,Sports,1,56.7,United States,Bank Transfer,56.7,0.0
10040,Adam Taylor,2026-08-21,Website,Home Goods,1,302.6,Germany,PayPal,302.6,0.0
10041,Jake Jones,2026-08-21,Website,Home Goods,3,99.69,United Kingdom,Bank Transfer,299.07,63.74
10042,Brenda Evans,2026-08-21,Website,Sports,3,81.66,United Kingdom,Credit Card,244.98,141.17
10043,Jesse Blake,2026-08-21,Marketplace,Apparel,2,157.78,Germany,Bank Transfer,315.56,0.0
10044,Andrea Larson,2026-08-21,Website,Electronics,4,312.0,Australia,Bank Transfer,1248.0,0.0
10045,John Atkins MD,2026-08-21,Website,Sports,2,349.13,Germany,PayPal,698.26,0.0
10046,Jennifer Gutierrez,2026-08-21,Marketplace,Beauty,2,179.8,Germany,Gift Card,359.6,125.54
10047,Steven Aguirre,2026-08-21,Website,Apparel,5,140.88,France,Bank Transfer,704.4,0.0
10048,Victoria Adams,21-08-2026,Retail Store,Home Goods,2,271.31,Australia,PayPal,542.62,0.0
10049,Julie Ewing,2026-08-21,Website,Electronics,5,184.81,Germany,Credit Card,924.05,0.0
10050,Tara Martin,2026-08-21,Marketplace,Sports,1,234.67,United Kingdom,PayPal,234.67,0.0
10051,Brad Lee,2026-08-21,Website,Sports,1,$71.2,Germany,Credit Card,71.2,12.52
10052,Robert Vincent,2026-08-21,Website,Home Goods,5,230.89,Australia,Credit Card,1154.45,0.0
10053,Jennifer Zimmerman MD,2026-08-21,Marketplace,Electronics,3,99.85,United Kingdom,Credit Card,299.55,0.0
10054,Paula Romero,2026-08-21,Website,Sports,2,97.77,Canada,Credit Card,195.54,0.0
10055,Dennis Cabrera,2026-08-21,Website,Sports,5,325.87,Germany,Bank Transfer,1629.35,0.0
10056,Jennifer Mcguire,2026-08-21,Website,Sports,5,177.9,United Kingdom,Bank Transfer,889.5,0.0
10057,Tommy Rodriguez,2026-08-21,Website,Home Goods,4,$78.45,United States,PayPal,313.8,0.0
10058,Steven Olson,2026-08-21,Marketplace,Electronics,4,$308.59,United Kingdom,Bank Transfer,1234.36,0.0
10059,Alisha Gallegos,2026-08-21,Website,Home Goods,2,176.23,United Kingdom,Gift Card,352.46,0.0
10060,Robert Weaver,2026-08-21,Marketplace,Electronics,4,12.77,United States,Gift Card,51.08,0.0
10061,Mary Butler,2026-08-21,Retail Store,Apparel,4,152.54,United Kingdom,Bank Transfer,610.16,0.0
